claim_id,dealer_id,vin,fleet_id,technician_id,filed_date,repair_date,claim_year,claim_month,claim_quarter,mileage_at_repair,vehicle_model,model_year,claim_type,symptom_reported,total_parts_cost,total_labor_hours,total_labor_cost,total_claim_amount,num_line_items,technician_narrative,status,risk_score,is_anomaly,anomaly_tier,anomaly_flags,days_to_warranty_end,prior_claims_on_vin,campaign_id,pre_authorized,submission_channel
WC-2023001355,DLR-012,3AKKGLDR9B1045,FLT-0033,DLR-012-TECH-12,2023-11-21,2023-11-15,2023,11,Q4,248153,Freightliner 108SD,2023,Base Warranty,Excessive exhaust smoke,5022.54,2.8,350.0,5372.54,2,Replaced Differential Assembly. Cleaned and reinstalled Driveshaft U-Joint. Verified repair and road tested.,Approved,23,N,,,675,4,,Y,PRISM Batch Upload
WC-2023001356,DLR-017,3AKKHLDR7R1187,FLT-0016,DLR-017-TECH-01,2024-12-02,2024-11-26,2024,12,Q4,199605,Western Star 47X,2022,Extended Warranty,DPF regeneration failure,1944.02,6.0,750.0,2694.02,3,Overhauled Fuel Injector (each). Diagnosed and replaced ABS Sensor. Diagnosed and replaced Slack Adjuster. Verified repair and road tested.,Escalated,27,N,,,330,6,,N,API
WC-2023001357,DLR-008,3AKJGLDR7U1167,FLT-0032,DLR-008-TECH-02,2024-10-15,2024-10-09,2024,10,Q4,158020,Freightliner 108SD,2023,Campaign/Recall,AC not cooling,1795.78,2.2,275.0,2070.78,1,Resealed DPF Filter Element. Verified repair and road tested.,Approved,19,N,,,732,6,CAMP-0006,N,PRISM Manual Entry
WC-2023001358,DLR-002,3AKKHLDR1C1197,FLT-0019,DLR-002-TECH-10,2023-03-16,2023-03-15,2023,3,Q1,48323,Freightliner Cascadia,2022,Campaign/Recall,ABS fault light,1923.99,4.3,537.5,2461.49,2,Inspected and repaired Radiator Assembly. Resealed Thermostat Housing. Verified repair and road tested.,Submitted,31,N,,,1576,13,CAMP-0002,N,PRISM Manual Entry
WC-2023001359,DLR-003,3AKLHLDR1E1039,FLT-0030,DLR-003-TECH-05,2023-01-22,2023-01-22,2023,1,Q1,46028,Western Star 47X,2022,Campaign/Recall,Hard starting in cold weather,2741.61,3.7,462.5,3204.11,2,Recalibrated High Pressure Fuel Pump. Overhauled NOx Sensor. Verified repair and road tested.,Under Review,39,N,,,422,15,CAMP-0002,N,Mobile App
WC-2023001360,DLR-007,3AKLGLDR4B1155,FLT-0028,DLR-007-TECH-01,2025-11-25,2025-11-22,2025,11,Q4,73816,Western Star 49X,2023,Policy Adjustment,Coolant leak detected,187.7,3.2,400.0,587.7,1,Cleaned and reinstalled ABS Sensor. Verified repair and road tested.,Submitted,16,N,,,281,4,,N,Mobile App
WC-2023001361,DLR-011,3AKKGLDR3W1195,FLT-0029,DLR-011-TECH-03,2023-12-21,2023-12-14,2023,12,Q4,1000,Freightliner 114SD,2024,Emissions Warranty,Loss of power under load,2239.59,6.2,775.0,3014.59,3,Resealed Battery Disconnect Switch. Replaced DPF Filter Element. Resealed ABS Sensor. Verified repair and road tested.,Submitted,34,N,,,1905,8,,N,PRISM Batch Upload
WC-2023001362,DLR-002,3AKKHLDR1C1197,FLT-0019,DLR-002-TECH-01,2025-02-13,2025-02-10,2025,2,Q1,36083,Freightliner Cascadia,2022,Emissions Warranty,Excessive exhaust smoke,9092.71,7.4,925.0,10017.71,3,Resealed EGR Cooler Assembly. Overhauled Wiring Harness - Engine. Replaced Differential Assembly. Verified repair and road tested.,Under Review,30,N,,,876,14,,Y,PRISM Manual Entry
WC-2023001363,DLR-008,3AKJGLDR7U1167,FLT-0032,DLR-008-TECH-02,2024-08-04,2024-07-29,2024,8,Q3,168182,Freightliner 108SD,2023,Extended Warranty,Excessive exhaust smoke,3158.19,5.3,662.5,3820.69,2,Cleaned and reinstalled EGR Cooler Assembly. Recalibrated Slack Adjuster. Verified repair and road tested.,Approved,12,N,,,804,7,,Y,API
WC-2023001364,DLR-001,3AKKHLDR8M1116,FLT-0002,DLR-001-TECH-04,2024-12-21,2024-12-19,2024,12,Q4,163860,Freightliner 114SD,2024,Campaign/Recall,Check engine light on,7298.5,4.4,550.0,7848.5,2,Replaced ECM Module. Replaced Turbocharger Assembly. Verified repair and road tested.,Submitted,18,N,,,531,6,CAMP-0005,Y,API
WC-2023001365,DLR-015,3AKJHLDR9F1173,FLT-0033,DLR-015-TECH-02,2024-06-01,2024-05-25,2024,6,Q2,375635,Freightliner M2 112,2024,Policy Adjustment,Hard starting in cold weather,186.59,1.9,237.5,424.09,1,Recalibrated Door Latch Assembly. Verified repair and road tested.,Under Review,30,N,,,1857,4,,N,API
WC-2023001366,DLR-018,3AKKHLDR9J1033,FLT-0011,DLR-018-TECH-13,2025-08-21,2025-08-21,2025,8,Q3,112002,Western Star 47X,2022,Base Warranty,AC not cooling,659.92,2.4,300.0,959.92,1,Resealed NOx Sensor. Verified repair and road tested.,Rejected,22,N,,,42,4,,N,API
WC-2023001367,DLR-011,3AKJHLDR7W1071,FLT-0010,DLR-011-TECH-04,2023-07-19,2023-07-16,2023,7,Q3,7749,Freightliner 114SD,2024,Goodwill,Fuel economy degradation,203.35,2.0,250.0,453.35,1,Overhauled Door Latch Assembly. Verified repair and road tested.,Rejected,11,N,,,2146,0,,N,PRISM Batch Upload
WC-2023001368,DLR-003,3AKKGLDR8B1114,FLT-0003,DLR-003-TECH-07,2025-02-04,2025-01-31,2025,2,Q1,89111,Western Star 49X,2024,Goodwill,Fan clutch not engaging,2837.68,6.1,762.5,3600.18,3,Inspected and repaired High Pressure Fuel Pump. Overhauled Door Latch Assembly. Cleaned and reinstalled Coolant Pump. Verified repair and road tested.,Escalated,22,N,,,791,11,,N,PRISM Batch Upload
WC-2023001369,DLR-005,3AKKGLDR4W1170,FLT-0035,DLR-005-TECH-03,2025-08-03,2025-08-02,2025,8,Q3,35004,Freightliner Cascadia,2024,Goodwill,Coolant leak detected,2627.27,5.7,712.5,3339.77,2,Replaced Wiring Harness - Engine. Inspected and repaired Air Compressor. Verified repair and road tested.,Escalated,13,N,,,376,2,,N,API
WC-2023001370,DLR-015,3AKJGLDR3B1076,FLT-0003,DLR-015-TECH-02,2024-01-25,2024-01-24,2024,1,Q1,252523,Western Star 47X,2023,Base Warranty,Loss of power under load,1329.81,4.9,612.5,1942.31,2,Cleaned and reinstalled Cab Air Spring. Replaced Starter Motor. Verified repair and road tested.,Approved,40,N,,,1660,3,,N,API
WC-2023001371,DLR-012,3AKLGLDR0K1172,FLT-0009,DLR-012-TECH-10,2023-01-13,2023-01-08,2023,1,Q1,365045,Freightliner Cascadia,2023,Base Warranty,Hard starting in cold weather,2711.29,2.0,250.0,2961.29,1,Overhauled SCR Catalyst. Verified repair and road tested.,Under Review,29,N,,,1294,8,,N,PRISM Manual Entry
WC-2023001372,DLR-013,3AKLHLDR4A1034,FLT-0037,DLR-013-TECH-03,2024-03-20,2024-03-13,2024,3,Q1,426237,Freightliner Cascadia,2024,Emissions Warranty,DPF regeneration failure,1489.5,3.3,412.5,1902.0,1,Recalibrated DEF Dosing Unit. Verified repair and road tested.,Under Review,61,Y,tier1_systematic,subtle_labor_inflation,2022,10,,N,PRISM Manual Entry
WC-2023001373,DLR-009,3AKKGLDR8D1069,FLT-0004,DLR-009-TECH-03,2025-03-18,2025-03-14,2025,3,Q1,292911,Freightliner 114SD,2024,Base Warranty,Check engine light on,5437.38,6.0,750.0,6187.38,3,Cleaned and reinstalled Wiring Harness - Engine. Diagnosed and replaced Transmission Control Module. Diagnosed and replaced Driveshaft U-Joint. Verified repair and road tested.,Approved,10,N,,,824,18,,Y,API
WC-2023001374,DLR-013,3AKKGLDR8E1115,FLT-0029,DLR-013-TECH-04,2024-11-02,2024-10-28,2024,11,Q4,270643,Freightliner M2 106,2023,Extended Warranty,Coolant leak detected,686.36,2.3,287.5,973.86,1,Inspected and repaired NOx Sensor. Verified repair and road tested.,Submitted,3,N,,,660,12,,N,Mobile App
WC-2023001375,DLR-003,3AKKGLDR8B1114,FLT-0003,DLR-003-TECH-02,2024-03-27,2024-03-20,2024,3,Q1,98628,Western Star 49X,2024,Extended Warranty,Fuel economy degradation,4839.19,5.8,725.0,5564.19,2,Replaced ECM Module. Inspected and repaired Starter Motor. Verified repair and road tested.,Under Review,29,N,,,1105,12,,Y,Mobile App
WC-2023001376,DLR-012,3AKLGLDR7R1190,FLT-0037,DLR-012-TECH-02,2024-11-16,2024-11-15,2024,11,Q4,53734,Western Star 47X,2023,Base Warranty,Vibration at highway speed,860.23,4.4,550.0,1410.23,3,Resealed Cab Air Spring. Overhauled Thermostat Housing. Resealed Door Latch Assembly. Verified repair and road tested.,Submitted,12,N,,,188,10,,N,PRISM Manual Entry
WC-2023001377,DLR-006,3AKLGLDR7S1032,FLT-0006,DLR-006-TECH-06,2023-09-16,2023-09-11,2023,9,Q3,125374,Freightliner Cascadia,2023,Campaign/Recall,Turbo boost pressure low,5522.9,6.4,800.0,6322.9,3,Cleaned and reinstalled Alternator Assembly. Resealed ECM Module. Replaced Battery Disconnect Switch. Verified repair and road tested.,Under Review,18,N,,,949,7,CAMP-0005,Y,API
WC-2023001378,DLR-002,3AKJHLDR5M1174,FLT-0001,DLR-002-TECH-12,2024-04-01,2024-03-30,2024,4,Q2,381343,Freightliner Cascadia,2021,Extended Warranty,Coolant leak detected,2460.03,2.3,287.5,2747.53,1,Replaced Clutch Assembly. Verified repair and road tested.,Approved,17,N,,,787,12,,N,Mobile App
WC-2023001379,DLR-012,3AKLGLDR7R1190,FLT-0037,DLR-012-TECH-02,2025-01-15,2025-01-12,2025,1,Q1,41980,Western Star 47X,2023,Goodwill,Fan clutch not engaging,425.89,4.1,512.5,938.39,2,Replaced ABS Sensor. Resealed Battery Disconnect Switch. Verified repair and road tested.,Approved,10,N,,,128,11,,N,API
WC-2023001380,DLR-001,3AKKHLDR8M1116,FLT-0002,DLR-001-TECH-04,2023-05-28,2023-05-25,2023,5,Q2,130782,Freightliner 114SD,2024,Policy Adjustment,Loss of power under load,2023.66,4.3,537.5,2561.16,2,Replaced Fuel Filter Housing. Overhauled Intercooler. Verified repair and road tested.,Approved,39,N,,,1104,7,,N,Mobile App
WC-2023001381,DLR-004,3AKLHLDR1V1104,FLT-0027,DLR-004-TECH-03,2025-03-13,2025-03-09,2025,3,Q1,352696,Freightliner Cascadia,2021,Campaign/Recall,AC not cooling,2451.45,5.1,637.5,3088.95,3,Inspected and repaired Fuel Filter Housing. Cleaned and reinstalled DPF Filter Element. Cleaned and reinstalled Battery Disconnect Switch. Verified repair and road tested.,Submitted,34,N,,,-344,7,CAMP-0002,N,PRISM Manual Entry
WC-2023001382,DLR-006,3AKLGLDR7S1032,FLT-0006,DLR-006-TECH-10,2023-01-04,2023-01-01,2023,1,Q1,133599,Freightliner Cascadia,2023,Emissions Warranty,DEF quality warning,7186.35,8.3,1037.5,8223.85,3,Overhauled Turbocharger Assembly. Overhauled Alternator Assembly. Inspected and repaired EGR Cooler Assembly. Verified repair and road tested.,Escalated,36,N,,,1204,8,,Y,PRISM Manual Entry
WC-2023001383,DLR-001,3AKLGLDR4R1024,FLT-0039,DLR-001-TECH-04,2025-01-16,2025-01-13,2025,1,Q1,454796,Freightliner Cascadia,2022,Campaign/Recall,AC not cooling,6711.9,7.9,987.5,7699.4,3,Resealed Oil Cooler. Diagnosed and replaced Transmission Control Module. Diagnosed and replaced High Pressure Fuel Pump. Verified repair and road tested.,Approved,11,N,,,-339,6,CAMP-0002,Y,PRISM Batch Upload
WC-2023001384,DLR-007,3AKKHLDR0E1178,FLT-0034,DLR-007-TECH-12,2023-01-11,2023-01-07,2023,1,Q1,235329,Freightliner Cascadia,2022,Campaign/Recall,Fuel economy degradation,4048.24,4.2,525.0,4573.24,2,Overhauled Turbocharger Assembly. Diagnosed and replaced Battery Disconnect Switch. Verified repair and road tested.,Submitted,49,Y,tier1_systematic,subtle_labor_inflation|subtle_parts_inflation|high_value_part_preference,1615,11,CAMP-0002,Y,PRISM Batch Upload
WC-2023001385,DLR-012,3AKKGLDR9B1045,FLT-0033,DLR-012-TECH-04,2025-03-02,2025-02-25,2025,3,Q1,268364,Freightliner 108SD,2023,Campaign/Recall,Oil pressure warning,3241.08,4.5,562.5,3803.58,2,Overhauled DPF Filter Element. Recalibrated Brake Caliper Assembly. Verified repair and road tested.,Rejected,21,N,,,208,5,CAMP-0006,Y,API
WC-2023001386,DLR-005,3AKKGLDR2R1043,FLT-0039,DLR-005-TECH-01,2025-07-23,2025-07-20,2025,7,Q3,38288,Freightliner 108SD,2023,Policy Adjustment,Vibration at highway speed,454.75,2.9,362.5,817.25,2,Cleaned and reinstalled Slack Adjuster. Resealed Driveshaft U-Joint. Verified repair and road tested.,Under Review,6,N,,,1064,2,,N,PRISM Batch Upload
WC-2023001387,DLR-006,3AKLGLDR4B1013,FLT-0020,DLR-006-TECH-09,2025-06-10,2025-06-09,2025,6,Q2,380384,Freightliner M2 106,2023,Campaign/Recall,Loss of power under load,6060.79,7.9,987.5,7048.29,3,Replaced Intercooler. Diagnosed and replaced ECM Module. Overhauled Slack Adjuster. Verified repair and road tested.,Submitted,16,N,,,981,8,CAMP-0005,Y,PRISM Batch Upload
WC-2023001388,DLR-008,3AKJGLDR7U1167,FLT-0032,DLR-008-TECH-05,2025-12-16,2025-12-09,2025,12,Q4,154471,Freightliner 108SD,2023,Campaign/Recall,Vibration at highway speed,3551.21,5.2,650.0,4201.21,2,Overhauled Starter Motor. Replaced Clutch Assembly. Verified repair and road tested.,Escalated,7,N,,,305,8,CAMP-0001,Y,Mobile App
WC-2023001389,DLR-007,3AKLHLDR8M1100,FLT-0036,DLR-007-TECH-13,2023-11-28,2023-11-25,2023,11,Q4,286015,Western Star 49X,2023,Base Warranty,Electrical intermittent fault,6142.57,6.3,787.5,6930.07,3,Inspected and repaired NOx Sensor. Replaced Alternator Assembly. Resealed Differential Assembly. Verified repair and road tested.,Submitted,26,N,,,1002,9,,Y,API
WC-2023001390,DLR-015,3AKLHLDR1N1163,FLT-0001,DLR-015-TECH-06,2024-06-08,2024-06-02,2024,6,Q2,57946,Western Star 49X,2023,Policy Adjustment,Transmission fault code,2434.79,2.4,300.0,2734.79,1,Replaced Clutch Assembly. Verified repair and road tested.,Rejected,37,N,,,688,5,,N,PRISM Batch Upload
WC-2023001391,DLR-016,3AKJGLDR7F1083,FLT-0013,DLR-016-TECH-05,2023-12-28,2023-12-25,2023,12,Q4,53111,Western Star 47X,2023,Emissions Warranty,Excessive exhaust smoke,784.61,4.6,575.0,1359.61,2,Recalibrated Slack Adjuster. Resealed NOx Sensor. Verified repair and road tested.,Submitted,6,N,,,1736,2,,N,PRISM Batch Upload
WC-2023001392,DLR-018,3AKJHLDR6W1085,FLT-0009,DLR-018-TECH-12,2023-08-02,2023-07-30,2023,8,Q3,31786,Freightliner 108SD,2023,Campaign/Recall,Excessive exhaust smoke,1190.91,2.1,262.5,1453.41,1,Resealed Oil Cooler. Verified repair and road tested.,Rejected,21,N,,,1906,2,CAMP-0006,N,PRISM Batch Upload
WC-2023001393,DLR-010,3AKLHLDR0L1176,FLT-0021,DLR-010-TECH-03,2025-12-27,2025-12-23,2025,12,Q4,315439,Freightliner 108SD,2023,Emissions Warranty,Excessive exhaust smoke,6626.88,5.5,687.5,7314.38,3,Inspected and repaired SCR Catalyst. Resealed Turbocharger Assembly. Cleaned and reinstalled Driveshaft U-Joint. Verified repair and road tested.,Approved,12,N,,,885,2,,Y,Mobile App
WC-2023001394,DLR-001,3AKKHLDR5S1131,FLT-0011,DLR-001-TECH-02,2024-08-13,2024-08-11,2024,8,Q3,385655,Freightliner Cascadia,2021,Base Warranty,Electrical intermittent fault,4344.96,5.9,737.5,5082.46,2,Resealed Turbocharger Assembly. Overhauled Starter Motor. Verified repair and road tested.,Submitted,14,N,,,-500,6,,N,Mobile App
WC-2023001395,DLR-011,3AKKHLDR4C1003,FLT-0022,DLR-011-TECH-02,2025-12-21,2025-12-21,2025,12,Q4,121354,Freightliner M2 112,2024,Campaign/Recall,AC not cooling,3150.37,5.4,675.0,3825.37,2,Cleaned and reinstalled DEF Dosing Unit. Inspected and repaired Intercooler. Verified repair and road tested.,Rejected,5,N,,,608,2,CAMP-0004,Y,API
WC-2023001396,DLR-003,3AKLGLDR4G1166,FLT-0016,DLR-003-TECH-09,2024-08-27,2024-08-23,2024,8,Q3,214779,Western Star 47X,2022,Campaign/Recall,Transmission fault code,2164.23,4.6,575.0,2739.23,2,Inspected and repaired DEF Dosing Unit. Cleaned and reinstalled Coolant Pump. Verified repair and road tested.,Approved,33,N,,,1156,15,CAMP-0004,N,PRISM Batch Upload
WC-2023001397,DLR-014,3AKKHLDR6K1021,FLT-0032,DLR-014-TECH-01,2024-03-14,2024-03-10,2024,3,Q1,226591,Western Star 49X,2024,Extended Warranty,Excessive exhaust smoke,306.82,1.1,137.5,444.32,1,Diagnosed and replaced Thermostat Housing. Verified repair and road tested.,Rejected,13,N,,,1229,3,,N,PRISM Batch Upload
WC-2023001398,DLR-009,3AKJGLDR4S1020,FLT-0002,DLR-009-TECH-01,2024-09-21,2024-09-14,2024,9,Q3,342260,Western Star 49X,2024,Base Warranty,Oil pressure warning,7123.79,6.8,850.0,7973.79,3,Inspected and repaired ECM Module. Replaced Wiring Harness - Engine. Diagnosed and replaced Alternator Assembly. Verified repair and road tested.,Escalated,32,N,,,1659,25,,Y,API
WC-2023001399,DLR-007,3AKKHLDR0E1178,FLT-0034,DLR-007-TECH-08,2023-07-24,2023-07-21,2023,7,Q3,210280,Freightliner Cascadia,2022,Policy Adjustment,Fan clutch not engaging,6454.1,8.4,1050.0,7504.1,3,Overhauled Transmission Control Module. Overhauled Clutch Assembly. Replaced Oil Cooler. Verified repair and road tested.,Approved,17,N,,,1421,12,,Y,PRISM Batch Upload
WC-2023001400,DLR-003,3AKKGLDR8B1114,FLT-0003,DLR-003-TECH-04,2024-12-13,2024-12-13,2024,12,Q4,83069,Western Star 49X,2024,Emissions Warranty,Vibration at highway speed,2654.47,1.6,200.0,2854.47,1,Inspected and repaired SCR Catalyst. Verified repair and road tested.,Submitted,37,N,,,844,13,,N,API
WC-2023001401,DLR-005,3AKKGLDR8O1113,FLT-0033,DLR-005-TECH-05,2024-06-23,2024-06-20,2024,6,Q2,438478,Freightliner M2 112,2024,Emissions Warranty,Vibration at highway speed,2503.99,4.0,500.0,3003.99,2,Resealed NOx Sensor. Overhauled DPF Filter Element. Verified repair and road tested.,Under Review,19,N,,,1129,4,,N,Mobile App
WC-2023001402,DLR-015,3AKJGLDR8X1047,FLT-0033,DLR-015-TECH-04,2024-07-16,2024-07-09,2024,7,Q3,183852,Freightliner M2 106,2022,Extended Warranty,Fan clutch not engaging,3355.48,7.8,975.0,4330.48,3,Inspected and repaired Clutch Assembly. Overhauled Slack Adjuster. Cleaned and reinstalled Air Compressor. Verified repair and road tested.,Escalated,28,N,,,314,3,,Y,Mobile App
WC-2023001403,DLR-011,3AKKHLDR4C1003,FLT-0022,DLR-011-TECH-01,2025-04-08,2025-04-03,2025,4,Q2,123631,Freightliner M2 112,2024,Goodwill,ABS fault light,1611.25,6.0,750.0,2361.25,3,Recalibrated Door Latch Assembly. Diagnosed and replaced Alternator Assembly. Inspected and repaired Cab Air Spring. Verified repair and road tested.,Approved,17,N,,,865,3,,N,PRISM Batch Upload
WC-2023001404,DLR-007,3AKLGLDR4B1155,FLT-0028,DLR-007-TECH-03,2023-01-16,2023-01-09,2023,1,Q1,54212,Western Star 49X,2023,Campaign/Recall,Battery not charging,4836.16,7.1,887.5,5723.66,3,Recalibrated DPF Filter Element. Resealed NOx Sensor. Diagnosed and replaced Wiring Harness - Engine. Verified repair and road tested.,Submitted,66,Y,tier1_systematic,subtle_labor_inflation|subtle_parts_inflation,1325,5,CAMP-0007,Y,PRISM Manual Entry
WC-2023001405,DLR-003,3AKJHLDR0G1132,FLT-0018,DLR-003-TECH-06,2023-01-20,2023-01-19,2023,1,Q1,90429,Freightliner Cascadia,2021,Campaign/Recall,Overheating at idle,2183.24,3.5,437.5,2620.74,2,Diagnosed and replaced Wiring Harness - Engine. Inspected and repaired Thermostat Housing. Verified repair and road tested.,Escalated,22,N,,,646,14,CAMP-0002,N,PRISM Batch Upload
WC-2023001406,DLR-009,3AKJGLDR4S1020,FLT-0002,DLR-009-TECH-01,2025-12-13,2025-12-10,2025,12,Q4,354849,Western Star 49X,2024,Goodwill,Battery not charging,1065.65,2.5,312.5,1378.15,1,Replaced Brake Caliper Assembly. Verified repair and road tested.,Submitted,7,N,,,1211,26,,N,API
WC-2023001407,DLR-005,3AKKGLDR2R1043,FLT-0039,DLR-005-TECH-01,2023-02-28,2023-02-21,2023,2,Q1,22149,Freightliner 108SD,2023,Campaign/Recall,Fuel economy degradation,7543.17,7.5,937.5,8480.67,3,Resealed Fan Clutch Assembly. Cleaned and reinstalled DPF Filter Element. Inspected and repaired Differential Assembly. Verified repair and road tested.,Submitted,21,N,,,1940,3,CAMP-0006,N,Mobile App
WC-2023001408,DLR-001,3AKLGLDR4R1024,FLT-0039,DLR-001-TECH-03,2024-01-07,2024-01-06,2024,1,Q1,465081,Freightliner Cascadia,2022,Goodwill,Fuel economy degradation,3134.12,1.3,162.5,3296.62,1,Diagnosed and replaced Fuel Injector (each). Verified repair and road tested.,Submitted,20,N,,,36,7,,N,API
WC-2023001409,DLR-003,3AKLHLDR1E1039,FLT-0030,DLR-003-TECH-06,2024-08-06,2024-07-30,2024,8,Q3,36644,Western Star 47X,2022,Campaign/Recall,Hard starting in cold weather,3461.01,4.5,562.5,4023.51,2,Resealed High Pressure Fuel Pump. Recalibrated Intercooler. Verified repair and road tested.,Approved,9,N,,,-140,16,CAMP-0002,Y,Mobile App
WC-2023001410,DLR-017,3AKLHLDR3D1050,FLT-0014,DLR-017-TECH-06,2024-05-13,2024-05-07,2024,5,Q2,402292,Western Star 49X,2024,Emissions Warranty,Turbo boost pressure low,3078.23,2.6,325.0,3403.23,2,Overhauled SCR Catalyst. Resealed Driveshaft U-Joint. Verified repair and road tested.,Rejected,22,N,,,837,2,,N,API
WC-2023001411,DLR-009,3AKJGLDR4S1020,FLT-0002,DLR-009-TECH-01,2024-02-23,2024-02-17,2024,2,Q1,335148,Western Star 49X,2024,Campaign/Recall,Excessive exhaust smoke,3000.21,4.9,612.5,3612.71,2,Resealed Intercooler. Inspected and repaired Oil Cooler. Verified repair and road tested.,Submitted,40,N,,,1870,27,CAMP-0008,N,Mobile App
WC-2023001412,DLR-003,3AKLHLDR1E1039,FLT-0030,DLR-003-TECH-09,2025-02-08,2025-02-05,2025,2,Q1,61691,Western Star 47X,2022,Campaign/Recall,DEF quality warning,4974.24,5.4,675.0,5649.24,2,Resealed Starter Motor. Inspected and repaired ECM Module. Verified repair and road tested.,Escalated,28,N,,,-326,17,CAMP-0013,Y,PRISM Manual Entry
WC-2023001413,DLR-003,3AKKGLDR8B1114,FLT-0003,DLR-003-TECH-09,2023-09-18,2023-09-13,2023,9,Q3,114129,Western Star 49X,2024,Goodwill,Electrical intermittent fault,4777.13,3.1,387.5,5164.63,2,Recalibrated Driveshaft U-Joint. Recalibrated Differential Assembly. Verified repair and road tested.,Approved,9,N,,,1296,14,,Y,PRISM Manual Entry
WC-2023001414,DLR-019,3AKLGLDR9X1016,FLT-0028,DLR-019-TECH-04,2025-08-11,2025-08-07,2025,8,Q3,353046,Freightliner 114SD,2024,Goodwill,Fuel economy degradation,4524.67,2.2,275.0,4799.67,1,Overhauled Differential Assembly. Verified repair and road tested.,Approved,21,N,,,603,8,,Y,API
WC-2023001415,DLR-013,3AKKGLDR7D1145,FLT-0030,DLR-013-TECH-01,2024-06-20,2024-06-15,2024,6,Q2,66439,Freightliner M2 106,2023,Goodwill,Transmission fault code,6701.31,10.6,1325.0,8026.31,3,Overhauled Turbocharger Assembly. Recalibrated Radiator Assembly. Replaced Air Compressor. Verified repair and road tested.,Submitted,58,Y,tier1_systematic,subtle_labor_inflation|subtle_parts_inflation|high_value_part_preference|batch_upload_pattern,1450,13,,Y,PRISM Batch Upload
WC-2023001416,DLR-020,3AKLHLDR1M1108,FLT-0026,DLR-020-TECH-02,2024-02-06,2024-02-04,2024,2,Q1,134997,Freightliner Cascadia,2023,Emissions Warranty,Overheating at idle,2410.14,4.0,500.0,2910.14,2,Diagnosed and replaced DPF Filter Element. Resealed Fuel Filter Housing. Verified repair and road tested.,Rejected,23,N,,,805,10,,N,Mobile App
WC-2023001417,DLR-016,3AKLHLDR7K1027,FLT-0023,DLR-016-TECH-08,2023-06-19,2023-06-13,2023,6,Q2,112560,Western Star 49X,2023,Campaign/Recall,Oil pressure warning,2464.03,5.0,625.0,3089.03,2,Inspected and repaired Alternator Assembly. Cleaned and reinstalled DEF Dosing Unit. Verified repair and road tested.,Approved,24,N,,,1125,5,CAMP-0007,N,PRISM Manual Entry
WC-2023001418,DLR-019,3AKKGLDR6V1185,FLT-0028,DLR-019-TECH-01,2024-01-14,2024-01-13,2024,1,Q1,160309,Freightliner Cascadia,2023,Policy Adjustment,ABS fault light,2570.57,4.3,537.5,3108.07,3,Inspected and repaired Battery Disconnect Switch. Overhauled Fuel Injector (each). Overhauled Door Latch Assembly. Verified repair and road tested.,Under Review,17,N,,,579,3,,N,API
WC-2023001419,DLR-019,3AKJGLDR4O1008,FLT-0018,DLR-019-TECH-04,2023-06-03,2023-06-03,2023,6,Q2,367195,Freightliner M2 112,2023,Campaign/Recall,Fuel economy degradation,2485.7,6.9,862.5,3348.2,2,Cleaned and reinstalled Intercooler. Recalibrated Air Compressor. Verified repair and road tested.,Escalated,15,N,,,1872,10,CAMP-0003,N,API
WC-2023001420,DLR-001,3AKKGLDR0S1098,FLT-0039,DLR-001-TECH-04,2024-06-03,2024-06-03,2024,6,Q2,423938,Freightliner 108SD,2023,Campaign/Recall,Check engine light on,4279.4,7.0,875.0,5154.4,3,Recalibrated Cab Air Spring. Diagnosed and replaced Radiator Assembly. Replaced Clutch Assembly. Verified repair and road tested.,Approved,19,N,,,490,7,CAMP-0001,Y,Mobile App
WC-2023001421,DLR-020,3AKLHLDR7N1186,FLT-0040,DLR-020-TECH-03,2024-10-08,2024-10-06,2024,10,Q4,196577,Freightliner Cascadia,2021,Campaign/Recall,Transmission fault code,1320.56,3.4,425.0,1745.56,2,Inspected and repaired Thermostat Housing. Overhauled Alternator Assembly. Verified repair and road tested.,Under Review,23,N,,,2,10,CAMP-0002,N,API
WC-2023001422,DLR-010,3AKJGLDR9I1035,FLT-0015,DLR-010-TECH-05,2025-04-07,2025-03-31,2025,4,Q2,438440,Freightliner 114SD,2024,Policy Adjustment,Loss of power under load,288.99,1.3,162.5,451.49,1,Diagnosed and replaced Thermostat Housing. Verified repair and road tested.,Submitted,6,N,,,732,3,,N,API
WC-2023001423,DLR-002,3AKJGLDR1W1127,FLT-0001,DLR-002-TECH-02,2025-03-28,2025-03-22,2025,3,Q1,204256,Freightliner 114SD,2024,Extended Warranty,Transmission fault code,7097.11,6.5,812.5,7909.61,3,Resealed SCR Catalyst. Inspected and repaired Turbocharger Assembly. Resealed Coolant Pump. Verified repair and road tested.,Under Review,19,N,,,781,15,,Y,API
WC-2023001424,DLR-010,3AKKGLDR4L1031,FLT-0002,DLR-010-TECH-06,2024-11-19,2024-11-17,2024,11,Q4,229092,Western Star 47X,2023,Extended Warranty,Vibration at highway speed,4491.76,3.6,450.0,4941.76,2,Overhauled High Pressure Fuel Pump. Resealed Clutch Assembly. Verified repair and road tested.,Under Review,37,N,,,1346,5,,Y,API
